horario,views
2025-05-24 13:00:00-03:00,0
2025-05-24 13:05:00-03:00,100000
2025-05-24 13:10:00-03:00,400000
2025-05-24 13:15:00-03:00,570755
2025-05-24 13:20:00-03:00,785735
2025-05-24 13:25:00-03:00,977051
2025-05-24 13:30:00-03:00,1158350
2025-05-24 13:35:00-03:00,1435308
2025-05-24 13:40:00-03:00,1702986
2025-05-24 13:45:00-03:00,1820290
2025-05-24 13:50:00-03:00,2092025
2025-05-24 13:55:00-03:00,2315748
2025-05-24 14:00:00-03:00,2487684
2025-05-24 14:05:00-03:00,2761107
2025-05-24 14:10:00-03:00,2910945
2025-05-24 14:15:00-03:00,3112425
2025-05-24 14:20:00-03:00,3268420
2025-05-24 14:25:00-03:00,3415816
2025-05-24 14:30:00-03:00,3543630
2025-05-24 14:35:00-03:00,3673489
2025-05-24 14:40:00-03:00,3798210
2025-05-24 14:45:00-03:00,3908528
2025-05-24 14:50:00-03:00,4012671
2025-05-24 14:55:00-03:00,4142839
2025-05-24 15:00:00-03:00,4283949
2025-05-24 15:05:00-03:00,4434203
2025-05-24 15:10:00-03:00,4597559
2025-05-24 15:15:00-03:00,4728944
2025-05-24 15:20:00-03:00,4874739
2025-05-24 15:25:00-03:00,5051328
2025-05-24 15:30:00-03:00,5189957
2025-05-24 15:35:00-03:00,5334632
2025-05-24 15:40:00-03:00,5514194
2025-05-24 15:45:00-03:00,5771365
2025-05-24 15:50:00-03:00,6125601
2025-05-24 15:55:00-03:00,6541766
2025-05-24 16:00:00-03:00,6858672
2025-05-24 16:05:00-03:00,7037648
2025-05-24 16:10:00-03:00,7241328
2025-05-24 16:15:00-03:00,7428570
2025-05-24 16:20:00-03:00,7598246
2025-05-24 16:25:00-03:00,7812185
2025-05-24 16:30:00-03:00,8000469
2025-05-24 16:35:00-03:00,8186937
2025-05-24 16:40:00-03:00,8380449
2025-05-24 16:45:00-03:00,8548526
2025-05-24 16:50:00-03:00,8770390
2025-05-24 16:55:00-03:00,9004583
2025-05-24 17:00:00-03:00,9210341
2025-05-24 17:05:00-03:00,9458043
2025-05-24 17:10:00-03:00,9719338
2025-05-24 17:15:00-03:00,9992423
2025-05-24 17:20:00-03:00,10281846
2025-05-24 17:25:00-03:00,10456550
2025-05-24 17:30:00-03:00,10637483
2025-05-24 17:35:00-03:00,10901818
2025-05-24 17:40:00-03:00,11074603
2025-05-24 17:45:00-03:00,11271722
2025-05-24 17:50:00-03:00,11473208
2025-05-24 17:55:00-03:00,11619302
2025-05-24 18:00:00-03:00,11779197
2025-05-24 18:05:00-03:00,11996639
2025-05-24 18:10:00-03:00,12175625
2025-05-24 18:15:00-03:00,12307175
2025-05-24 18:20:00-03:00,12464164
2025-05-24 18:25:00-03:00,12676385
2025-05-24 18:30:00-03:00,12820946
2025-05-24 18:35:00-03:00,12943724
2025-05-24 18:40:00-03:00,13101907
2025-05-24 18:45:00-03:00,13257259
2025-05-24 18:50:00-03:00,13517439
2025-05-24 18:55:00-03:00,13781129
2025-05-24 19:00:00-03:00,14011985
2025-05-24 19:05:00-03:00,14345719
2025-05-24 19:10:00-03:00,14508398
2025-05-24 19:15:00-03:00,14682303
2025-05-24 19:20:00-03:00,14906380
2025-05-24 19:25:00-03:00,15051328
2025-05-24 19:30:00-03:00,15191819
2025-05-24 19:35:00-03:00,15368367
2025-05-24 19:40:00-03:00,15542718
2025-05-24 19:45:00-03:00,15747226
2025-05-24 19:50:00-03:00,15975978
2025-05-24 19:55:00-03:00,16198829
2025-05-24 20:00:00-03:00,16328612
2025-05-24 20:05:00-03:00,16523293
2025-05-24 20:10:00-03:00,16736615
2025-05-24 20:15:00-03:00,16830411
2025-05-24 20:20:00-03:00,16996897
2025-05-24 20:25:00-03:00,17220329
2025-05-24 20:30:00-03:00,17437063
2025-05-24 20:35:00-03:00,17584195
2025-05-24 20:40:00-03:00,17781967
2025-05-24 20:45:00-03:00,18031765
2025-05-24 20:50:00-03:00,18230100
2025-05-24 20:55:00-03:00,18393398
2025-05-24 21:00:00-03:00,18558303
2025-05-24 21:05:00-03:00,18713262
2025-05-24 21:10:00-03:00,18859213
2025-05-24 21:15:00-03:00,19044227
2025-05-24 21:20:00-03:00,19235924
2025-05-24 21:25:00-03:00,19422010
2025-05-24 21:30:00-03:00,19600819
2025-05-24 21:35:00-03:00,19809028
2025-05-24 21:40:00-03:00,19946108
2025-05-24 21:45:00-03:00,20021106
2025-05-24 21:50:00-03:00,20128425
2025-05-24 21:55:00-03:00,20250011
2025-05-24 22:00:00-03:00,20408651
2025-05-24 22:05:00-03:00,20607649
2025-05-24 22:10:00-03:00,20813297
2025-05-24 22:15:00-03:00,21047569
2025-05-24 22:20:00-03:00,21245990
2025-05-24 22:25:00-03:00,21357722
2025-05-24 22:30:00-03:00,21437764
2025-05-24 22:35:00-03:00,21514972
2025-05-24 22:40:00-03:00,21628306
2025-05-24 22:45:00-03:00,21747574
2025-05-24 22:50:00-03:00,21922083
2025-05-24 22:55:00-03:00,22126542
2025-05-24 23:00:00-03:00,22265568
2025-05-24 23:05:00-03:00,22426970
2025-05-24 23:10:00-03:00,22588136
2025-05-24 23:15:00-03:00,22693399
