Time,,views
2025-05-10,13:15:00-03:00,527356
2025-05-10,13:20:00-03:00,699125
2025-05-10,13:25:00-03:00,896691
2025-05-10,13:30:00-03:00,1088043
2025-05-10,13:35:00-03:00,1294223
2025-05-10,13:40:00-03:00,1453483
2025-05-10,13:45:00-03:00,1701005
2025-05-10,13:50:00-03:00,1840453
2025-05-10,13:55:00-03:00,2079453
2025-05-10,14:00:00-03:00,2229181
2025-05-10,14:05:00-03:00,2404726
2025-05-10,14:10:00-03:00,2544407
2025-05-10,14:15:00-03:00,2717528
2025-05-10,14:20:00-03:00,2855145
2025-05-10,14:25:00-03:00,3005196
2025-05-10,14:30:00-03:00,3104868
2025-05-10,14:35:00-03:00,3237288
2025-05-10,14:40:00-03:00,3328250
2025-05-10,14:45:00-03:00,3371645
2025-05-10,14:50:00-03:00,3371645
2025-05-10,14:55:00-03:00,3586804
2025-05-10,15:00:00-03:00,3634253
2025-05-10,15:05:00-03:00,3765096
2025-05-10,15:10:00-03:00,3877945
2025-05-10,15:15:00-03:00,4025461
2025-05-10,15:20:00-03:00,4146394
2025-05-10,15:25:00-03:00,4295888
2025-05-10,15:30:00-03:00,4502820
2025-05-10,15:35:00-03:00,4502820
2025-05-10,15:40:00-03:00,4790992
2025-05-10,15:45:00-03:00,5143275
2025-05-10,15:50:00-03:00,5339329
2025-05-10,15:55:00-03:00,5464024
2025-05-10,16:00:00-03:00,5786909
2025-05-10,16:05:00-03:00,5986296
2025-05-10,16:10:00-03:00,6172031
2025-05-10,16:15:00-03:00,6363221
2025-05-10,16:20:00-03:00,6506297
2025-05-10,16:25:00-03:00,6654269
2025-05-10,16:30:00-03:00,6733818
2025-05-10,16:35:00-03:00,6859538
2025-05-10,16:40:00-03:00,7082445
2025-05-10,16:45:00-03:00,7252190
2025-05-10,16:50:00-03:00,7574125
2025-05-10,16:55:00-03:00,7749237
2025-05-10,17:00:00-03:00,7885408
2025-05-10,17:05:00-03:00,8010396
2025-05-10,17:10:00-03:00,8170059
2025-05-10,17:15:00-03:00,8375624
2025-05-10,17:20:00-03:00,8580425
2025-05-10,17:25:00-03:00,8724811
2025-05-10,17:30:00-03:00,8829796
2025-05-10,17:35:00-03:00,8908028
2025-05-10,17:40:00-03:00,8976993
2025-05-10,17:45:00-03:00,9092788
2025-05-10,17:50:00-03:00,9267268
2025-05-10,17:55:00-03:00,9474137
2025-05-10,18:00:00-03:00,9661784
2025-05-10,18:05:00-03:00,9811863
2025-05-10,18:10:00-03:00,9970139
2025-05-10,18:15:00-03:00,10135221
2025-05-10,18:20:00-03:00,10302053
2025-05-10,18:25:00-03:00,10451470
2025-05-10,18:30:00-03:00,10650203
2025-05-10,18:35:00-03:00,10825987
2025-05-10,18:40:00-03:00,10977813
2025-05-10,18:45:00-03:00,11078398
2025-05-10,18:50:00-03:00,11193340
2025-05-10,18:55:00-03:00,11332904
2025-05-10,19:00:00-03:00,11456760
2025-05-10,19:05:00-03:00,11525626
2025-05-10,19:10:00-03:00,11649075
2025-05-10,19:15:00-03:00,11829150
2025-05-10,19:20:00-03:00,11981830
2025-05-10,19:25:00-03:00,12126506
2025-05-10,19:30:00-03:00,12170273
2025-05-10,19:35:00-03:00,12222985
2025-05-10,19:40:00-03:00,12353083
2025-05-10,19:45:00-03:00,12526907
2025-05-10,19:50:00-03:00,12742057
2025-05-10,19:55:00-03:00,12930625
2025-05-10,20:00:00-03:00,13015001
2025-05-10,20:05:00-03:00,13128471
2025-05-10,20:10:00-03:00,13330337
2025-05-10,20:15:00-03:00,13486600
2025-05-10,20:20:00-03:00,13618774
2025-05-10,20:25:00-03:00,13710213
2025-05-10,20:30:00-03:00,13827699
2025-05-10,20:35:00-03:00,13989626
